Id,SalePrice
1461,125691.7720618279
1462,158828.12395674794
1463,178730.02938152713
1464,187426.76480065333
1465,186522.20462345044
1466,176722.40893823022
1467,176825.10737098425
1468,168304.2753111058
1469,184118.20746995154
1470,121907.48183641618
1471,205408.48548563072
1472,91636.29799584029
1473,96349.89240805729
1474,152160.12737792678
1475,127673.45384754201
1476,378931.88506585127
1477,270927.01520343416
1478,280082.31856801244
1479,246372.77903245436
1480,514073.9569754599
1481,325269.877032267
1482,207072.51910007873
1483,166306.52665807807
1484,165188.62431091766
1485,169188.22145950238
1486,191752.28999729364
1487,389712.9648746468
1488,242940.18126400138
1489,212945.42172911248
1490,214051.28853905213
1491,191058.88165433067
1492,92677.03921840254
1493,186821.69897651643
1494,293906.5910824595
1495,277280.4579408614
1496,238404.48879586582
1497,182842.48153837252
1498,156391.60378731915
1499,158084.977683328
1500,139094.47567063235
1501,178202.35079198054
1502,141372.64124172804
1503,298342.7390298472
1504,231372.83363516387
1505,218500.44568510615
1506,188094.49442256318
1507,259752.24637118974
1508,205171.50189335275
1509,170127.9493542232
1510,148227.73121764523
1511,145565.24334030322
1512,161155.04314009048
1513,156551.7998523514
1514,149976.9934018302
1515,186702.64879605875
1516,155209.98694146008
1517,156924.962246505
1518,132568.69375333257
1519,229106.61837467228
1520,132952.8903482373
1521,135597.55743613775
1522,175822.66764318847
1523,115612.55787663771
1524,125573.18554668834
1525,126027.90679105069
1526,123613.80732328728
1527,107074.3107878562
1528,123349.55535308184
1529,151509.5796700315
1530,184346.80670896787
1531,95950.94899952534
1532,99092.3289170858
1533,132341.8933618924
1534,119174.93385063377
1535,149757.5383705511
1536,112717.30221608427
1537,82294.69256532208
1538,173487.56237755262
1539,189555.37938277508
1540,85375.13136443592
1541,142156.1084384424
1542,136935.05573013882
1543,209269.94159208605
1544,71865.3799114569
1545,102340.28557575888
1546,126568.93796758422
1547,130537.70923074293
1548,138858.2624401461
1549,108387.91641712593
1550,139725.63867065238
1551,111950.10396995644
1552,132050.14492096478
1553,154872.17912582908
1554,108687.0329266512
1555,162156.3682826195
1556,72673.14837615739
1557,102283.40026162131
1558,85573.30248231454
1559,82458.15088441184
1560,139038.783465201
1561,131274.35484424868
1562,125827.04281246534
1563,120965.15704634915
1564,154704.11055071515
1565,151876.21780685498
1566,225128.23968085804
1567,73547.91350231199
1568,225168.994072211
1569,140443.81818136646
1570,131753.90973373523
1571,125900.6904509119
1572,141659.9382815365
1573,238961.39918704398
1574,105101.23648765005
1575,211085.0527820467
1576,229948.13390188248
1577,203286.55568010887
1578,152439.66104443584
1579,144404.16411869443
1580,188260.3847128849
1581,154541.54697783175
1582,126820.39163694342
1583,320883.3636420061
1584,232539.7432011629
1585,138734.3495563408
1586,68272.94110953277
1587,105868.81155204706
1588,159148.48446795758
1589,100783.46341404229
1590,138304.54970057993
1591,96948.97980714322
1592,111734.1692018958
1593,131753.5313418454
1594,130585.89304830159
1595,109025.66005713333
1596,250802.2245243286
1597,177313.27772806757
1598,209365.82615575948
1599,180960.15002402978
1600,180440.10147418504
1601,66288.57408437677
1602,106824.92005413138
1603,93954.40367735502
1604,252326.87254224234
1605,239679.39672518123
1606,168859.28631433027
1607,161426.5008715309
1608,208521.5149663116
1609,197257.4375577081
1610,155854.52967405028
1611,141965.63152982446
1612,169182.32452961738
1613,164587.79178356787
1614,125595.29196730087
1615,85284.18678869499
1616,77579.68471493952
1617,92671.1330144681
1618,119334.93096267492
1619,145412.10678145455
1620,146871.74652405994
1621,136290.4140035982
1622,141589.86137960464
1623,309547.40981265955
1624,211979.87497363734
1625,119690.9947030155
1626,163341.80080311073
1627,186399.57465686373
1628,265879.24732825754
1629,183616.68302555798
1630,382043.6406958186
1631,221937.98650652787
1632,241574.09375165007
1633,168177.92558133334
1634,183121.85394923587
1635,187206.93319208102
1636,157831.13249532244
1637,191029.98374237886
1638,193987.67943838084
1639,185774.76248122114
1640,251630.81959670602
1641,178786.8154601276
